
1701061390949|0.145|ms
1701061391040|0.08|ms
1701061391110|0.06|ms
1701061391205|0.085|ms
1701061391313|0.099|ms
1701061391373|0.051|ms
1701061391437|0.055|ms
1701061391491|0.045|ms
1701061391566|0.066|ms
1701061391634|0.059|ms
1701061391704|0.06|ms
1701061391769|0.056|ms
1701061391835|0.058|ms
1701061391900|0.056|ms
1701061391972|0.061|ms
1701061392043|0.062|ms
1701061392106|0.054|ms
1701061392175|0.06|ms
1701061392253|0.067|ms
1701061392345|0.083|ms
1701061392439|0.082|ms
1701061392510|0.06|ms
1701061392574|0.054|ms
1701061392648|0.064|ms
1701061392725|0.067|ms
1701061392795|0.058|ms
1701061392857|0.051|ms
1701061392926|0.052|ms
1701061393003|0.066|ms
1701061393070|0.056|ms
1701061393144|0.062|ms
1701061393203|0.048|ms
1701061393275|0.061|ms
1701061393348|0.062|ms
1701061393421|0.059|ms
1701061393487|0.055|ms
1701061393556|0.057|ms
1701061393633|0.065|ms
1701061393705|0.061|ms
1701061393803|0.084|ms
1701061393883|0.066|ms
1701061393952|0.056|ms
1701061394026|0.061|ms
1701061394104|0.063|ms
1701061394180|0.062|ms
1701061394259|0.066|ms
1701061394336|0.063|ms
1701061394417|0.067|ms
1701061394492|0.06|ms
1701061394568|0.061|ms
1701061394643|0.061|ms
1701061394737|0.079|ms
1701061394813|0.062|ms
1701061394896|0.068|ms
1701061394976|0.065|ms
1701061395055|0.063|ms
1701061395135|0.064|ms
1701061395227|0.075|ms
1701061395299|0.055|ms
1701061395380|0.066|ms
1701061395460|0.064|ms
1701061395538|0.062|ms
1701061395621|0.067|ms
1701061395692|0.055|ms
1701061395774|0.067|ms
1701061395853|0.063|ms
1701061395929|0.058|ms
1701061396005|0.06|ms
1701061396084|0.062|ms
1701061396167|0.066|ms
1701061396255|0.072|ms
1701061396340|0.068|ms
1701061396444|0.087|ms
1701061396520|0.058|ms
1701061396601|0.063|ms
1701061396675|0.056|ms
1701061396764|0.071|ms
1701061396846|0.065|ms
1701061396942|0.079|ms
1701061397031|0.071|ms
1701061397114|0.065|ms
1701061397190|0.058|ms
1701061397266|0.058|ms
1701061397357|0.072|ms
1701061397435|0.06|ms
1701061397517|0.064|ms
1701061397604|0.067|ms
1701061397684|0.06|ms
1701061397789|0.086|ms
1701061397888|0.079|ms
1701061397971|0.063|ms
1701061398057|0.065|ms
1701061398145|0.068|ms
1701061398235|0.068|ms
1701061398323|0.068|ms
1701061398442|0.098|ms
1701061398531|0.067|ms
1701061398623|0.07|ms
